School,Type,Total Students,Budget,Budget/Student,Math Avg,Reading Avg,Percent Passing Math,Percent Passing Reading,Overall Percent Passing
Griffin High School,Charter,1468,"$917,500.00 ",$625.00 ,83.35,83.82,93,97,91
Wilson High School,Charter,2283,"$1,319,574.00 ",$578.00 ,83.27,83.99,94,97,91
Cabrera High School,Charter,1858,"$1,081,356.00 ",$582.00 ,83.06,83.98,94,97,91
Pena High School,Charter,962,"$585,858.00 ",$609.00 ,83.84,84.04,95,96,91
Thomas High School,Charter,1635,"$1,043,130.00 ",$638.00 ,83.42,83.85,93,97,91
Shelton High School,Charter,1761,"$1,056,600.00 ",$600.00 ,83.36,83.73,94,96,90
Wright High School,Charter,1800,"$1,049,400.00 ",$583.00 ,83.68,83.95,93,97,90
Holden High School,Charter,427,"$248,087.00 ",$581.00 ,83.8,83.81,93,96,89
Bailey High School,District,4976,"$3,124,928.00 ",$628.00 ,77.05,81.03,67,82,55
Huang High School,District,2917,"$1,910,635.00 ",$655.00 ,76.63,81.18,66,81,54
Hernandez High School,District,4635,"$3,022,020.00 ",$652.00 ,77.29,80.93,67,81,54
Johnson High School,District,4761,"$3,094,650.00 ",$650.00 ,77.07,80.97,66,81,54
Ford High School,District,2739,"$1,763,916.00 ",$644.00 ,77.1,80.75,68,79,54
Figueroa High School,District,2949,"$1,884,411.00 ",$639.00 ,76.71,81.16,66,81,53
Rodriguez High School,District,3999,"$2,547,363.00 ",$637.00 ,76.84,80.74,66,80,53
